firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
6th Man Ventures LLC,2021.1.1,NY,10002,Private Equity Firm,5600,IVC,1,
7 Bridges Capital Partners LLC,1969.1.1,TX,77380,Private Equity Firm,3360,IVC,1,
701 Ventures LLC,2015.1.1,ND,58202,Angel Group,2985,Angel,1,
747 Capital LLC,2005.1.1,NY,10022,Private Equity Advisor or Fund of Funds,5600,Financial,1,
75 & Sunny Inc,2020.1.1,CA,90403,Private Equity Firm,4480,IVC,1,
755 Capital Partners I LLC,2007.1.1,CA,94024,Private Equity Firm,7400,IVC,1,
757 Angels Inc,2015.1.1,VA,23451,Angel Group,5720,Angel,1,
776 Fund Management,2020.1.1,TX,73301,Private Equity Firm,640,IVC,1,
777 Partners LLC,2015.1.1,FL,33131,Private Equity Firm,5000,IVC,1,
79 Ventures,2016.1.1,CA,94104,Private Equity Firm,7360,IVC,1,
7Blockchain Capital,2018.1.1,CA,94105,Private Equity Firm,7360,IVC,1,
7Thirty Capital LLC,2019.1.1,CO,80301,Private Equity Firm,1125,IVC,1,
7wire Ventures,2011.1.1,IL,60611,Private Equity Firm,1600,IVC,1,
8 Decimal Capital,2018.1.1,CA,94105,Private Equity Firm,7360,IVC,1,
8-Bit Capital,2019.1.1,CA,94107,Private Equity Firm,7360,IVC,1,
8090 Partners LLC,2020.1.1,NY,NA,Private Equity Firm,0,IVC,1,
819 Capital LLC,2010.1.1,CA,94111,Private Equity Firm,7360,IVC,1,
840 Venture Partners Fund 1 LP,2021.1.1,CT,6830,Private Equity Firm,8040,IVC,1,
8VC HighLight II SPV LP,1969.1.1,TX,78704,Private Equity Firm,640,IVC,1,
900 Fourth Avenue Associates,1981.1.1,UN,NA,Private Equity Firm,0,IVC,1,
93 Ventures LLC,2021.1.1,GA,30324,Private Equity Firm,520,IVC,1,
97212 Ventures L.P,2020.1.1,NY,10804,Private Equity Firm,0,IVC,1,
99 Tartans LLC,2017.1.1,PA,15206,Private Equity Firm,6280,IVC,1,
9Mile Labs LLC,2013.1.31,WA,98104,Incubator/Development Program,7600,Non-Financial,1,
9Yards Capital II LLC,2018.1.1,CA,90069,Private Equity Firm,4480,IVC,1,
9th Street Investments,2011.1.1,CO,80401,Private Equity Firm,2080,IVC,1,
@Ventures,1995.1.1,MA,2451,Corporate PE/Venture,1120,CVC,1,
A Capital Ventures,2014.1.1,CA,94025,Private Equity Firm,7360,IVC,1,
A DAVID SILVER & CO INC,1972.1.1,NY,10022,Private Equity Firm,5600,IVC,1,
A G Edwards Inc,1983.1.1,MO,63103,Bank Affiliated,7040,Financial,1,
A P Capital Corp,1989.5.1,NY,10022,Bank Affiliated,5600,Financial,1,
A T O Inc,1978.1.1,UN,NA,Corporate PE/Venture,0,CVC,1,
A&E Investments LLC,2019.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
A&I Ventures LLC,1999.1.1,PA,19428,Private Equity Firm,6160,IVC,1,
A&M Capital Advisors LP,1997.11.20,CT,6830,Private Equity Firm,8040,IVC,1,
A'Z Angels,2018.1.1,CA,94158,Angel Group,7360,Angel,1,
A* Partners,2020.1.1,CA,94101,Private Equity Firm,7360,IVC,34,
A-B Account,1979.1.1,UN,NA,Private Equity Firm,0,IVC,1,
A-Level Capital I LP,2015.8.13,MD,21218,Private Equity Firm,720,IVC,1,
